Date,^SP500TR_pct_from_sma200,SPY_pct_from_sma200,^SPX_pct_from_sma200
2021-05-20 00:00:00+00:00,12.494317976676639,12.455598874859408,11.837900324503735
2021-05-21 00:00:00+00:00,12.278387567547933,12.231878000752161,11.62595305857872
2021-05-24 00:00:00+00:00,13.266096548907335,13.240222109899902,12.604086914471324
2021-05-25 00:00:00+00:00,12.89309758333015,12.855567858057082,12.238771292984985
2021-05-26 00:00:00+00:00,12.972797499962008,12.946425205546387,12.323669102595037
2021-05-27 00:00:00+00:00,12.976059138865747,12.868361808346517,12.324186504787216
2021-05-28 00:00:00+00:00,12.94535602007889,12.93884086098993,12.286889567276639
2021-06-01 00:00:00+00:00,12.761400227847176,12.707996893327355,12.107553159468143
2021-06-02 00:00:00+00:00,12.803637188557659,12.752997397703837,12.144811309220538
2021-06-03 00:00:00+00:00,12.28407376445,12.207008334889347,11.617273529774707
2021-06-04 00:00:00+00:00,13.1435390134377,13.100146883883411,12.477536277448298
2021-06-07 00:00:00+00:00,12.9211487467781,12.856263470675277,12.260803329730386
2021-06-08 00:00:00+00:00,12.810102882562923,12.747905485262724,12.155074970981318
2021-06-09 00:00:00+00:00,12.479027782799367,12.450497665264514,11.8285188533227
2021-06-10 00:00:00+00:00,12.879944295399781,12.84589982429405,12.228623956015895
2021-06-11 00:00:00+00:00,12.975246106007553,12.905867158531215,12.327774909374822
2021-06-14 00:00:00+00:00,13.085072249161978,13.0358178938619,12.416259235415694
2021-06-15 00:00:00+00:00,12.74094167545785,12.708437685145423,12.077293844297344
2021-06-16 00:00:00+00:00,12.021837057091966,11.966858778023393,11.368003348374312
2021-06-17 00:00:00+00:00,11.862524632731963,11.816042112670821,11.213684363763377
2021-06-18 00:00:00+00:00,10.300229949959473,10.208720916951929,9.661652841513725
2021-06-21 00:00:00+00:00,11.747916543292503,11.68499281248283,11.103013584671029
2021-06-22 00:00:00+00:00,12.196930828426966,12.15887652064518,11.55627678225908
2021-06-23 00:00:00+00:00,11.949017912724269,11.897548495514098,11.31628047602604
2021-06-24 00:00:00+00:00,12.464582834532912,12.41546022721658,11.826026469768447
2021-06-25 00:00:00+00:00,12.704164847210798,12.677998529811617,12.068974402137833
2021-06-28 00:00:00+00:00,12.817697259616988,12.758487037625743,12.188689002618847
2021-06-29 00:00:00+00:00,12.712130514857488,12.672733842797058,12.08047677754669
2021-06-30 00:00:00+00:00,12.723782638409498,12.62727291520318,12.095562190187813
2021-07-01 00:00:00+00:00,13.177639565351228,13.109104501791835,12.546028921610208
