date,SPY_close,SMA200,daily_ret,equity,pct_from_sma200,w_long,w_safe,w_other,TQQQ_value,SPY_value
2024-06-07,534.01,478.54,-0.0012,7755.32,11.59,0.00,1.00,0.00,0.00,7755.32
2024-06-10,535.66,479.00,0.0031,7779.29,11.83,0.00,1.00,0.00,0.00,7779.29
2024-06-11,536.95,479.51,0.0024,7798.02,11.98,0.00,1.00,0.00,0.00,7798.02
2024-06-12,541.36,480.01,0.0082,7862.06,12.78,0.00,1.00,0.00,0.00,7862.06
2024-06-13,542.45,480.51,0.0020,7877.90,12.89,0.00,1.00,0.00,0.00,7877.90
2024-06-14,542.78,480.98,0.0006,7882.69,12.85,0.00,1.00,0.00,0.00,7882.69
2024-06-17,547.10,481.46,0.0080,7945.43,13.63,0.00,1.00,0.00,0.00,7945.43
2024-06-18,548.49,481.95,0.0025,7965.61,13.81,0.00,1.00,0.00,0.00,7965.61
2024-06-20,547.00,482.43,-0.0027,7943.97,13.38,0.00,1.00,0.00,0.00,7943.97
2024-06-21,544.51,482.91,-0.0013,7933.32,12.76,0.00,1.00,0.00,0.00,7933.32
2024-06-24,542.74,483.39,-0.0033,7907.53,12.28,0.00,1.00,0.00,0.00,7907.53
2024-06-25,544.83,483.89,0.0039,7937.99,12.59,0.00,1.00,0.00,0.00,7937.99
2024-06-26,545.51,484.39,0.0012,7947.89,12.62,0.00,1.00,0.00,0.00,7947.89
2024-06-27,546.37,484.88,0.0016,7960.42,12.68,0.00,1.00,0.00,0.00,7960.42
2024-06-28,544.22,485.37,-0.0039,7929.10,12.13,0.00,1.00,0.00,0.00,7929.10
2024-07-01,545.34,485.86,0.0021,7945.42,12.24,0.00,1.00,0.00,0.00,7945.42
2024-07-02,549.01,486.36,0.0067,7998.89,12.88,0.00,1.00,0.00,0.00,7998.89
2024-07-03,551.46,486.90,0.0045,8034.58,13.26,0.00,1.00,0.00,0.00,8034.58
2024-07-05,554.64,487.45,0.0058,8080.91,13.78,0.00,1.00,0.00,0.00,8080.91
2024-07-08,555.28,488.01,0.0012,8090.24,13.78,0.00,1.00,0.00,0.00,8090.24
2024-07-09,555.82,488.60,0.0010,8098.11,13.76,0.00,1.00,0.00,0.00,8098.11
2024-07-10,561.32,489.25,0.0099,8178.24,14.73,0.00,1.00,0.00,0.00,8178.24
2024-07-11,556.48,489.88,-0.0086,8107.72,13.60,0.00,1.00,0.00,0.00,8107.72
2024-07-12,559.99,490.52,0.0063,8158.86,14.16,0.00,1.00,0.00,0.00,8158.86
2024-07-15,561.53,491.20,0.0028,8181.30,14.32,0.00,1.00,0.00,0.00,8181.30
2024-07-16,564.86,491.89,0.0059,8229.81,14.83,0.00,1.00,0.00,0.00,8229.81
2024-07-17,556.94,492.53,-0.0140,8114.42,13.08,0.00,1.00,0.00,0.00,8114.42
2024-07-18,552.66,493.16,-0.0077,8052.07,12.07,0.00,1.00,0.00,0.00,8052.07
2024-07-19,548.99,493.77,-0.0066,7998.60,11.18,0.00,1.00,0.00,0.00,7998.60
2024-07-22,554.65,494.43,0.0103,8081.06,12.18,0.00,1.00,0.00,0.00,8081.06
2024-07-23,553.78,495.08,-0.0016,8068.38,11.86,0.00,1.00,0.00,0.00,8068.38
2024-07-24,541.23,495.66,-0.0227,7885.54,9.19,0.00,1.00,0.00,0.00,7885.54
2024-07-25,538.41,496.21,-0.0052,7844.45,8.51,0.00,1.00,0.00,0.00,7844.45
2024-07-26,544.44,496.77,0.0112,7932.30,9.60,0.00,1.00,0.00,0.00,7932.30
2024-07-29,544.76,497.32,0.0006,7936.97,9.54,0.00,1.00,0.00,0.00,7936.97
2024-07-30,542.00,497.85,-0.0051,7896.75,8.87,0.00,1.00,0.00,0.00,7896.75
2024-07-31,550.81,498.43,0.0163,8025.11,10.51,0.00,1.00,0.00,0.00,8025.11
2024-08-01,543.01,498.99,-0.0142,7911.47,8.82,0.00,1.00,0.00,0.00,7911.47
2024-08-02,532.90,499.47,-0.0186,7764.17,6.69,0.00,1.00,0.00,0.00,7764.17
2024-08-05,517.38,499.88,-0.0291,7538.05,3.50,0.00,1.00,0.00,0.00,7538.05
2024-08-06,522.15,500.34,0.0092,7607.55,4.36,0.00,1.00,0.00,0.00,7607.55
2024-08-07,518.66,500.80,-0.0067,7556.70,3.57,0.00,1.00,0.00,0.00,7556.70
2024-08-08,530.65,501.35,0.0231,7731.39,5.84,0.00,1.00,0.00,0.00,7731.39
2024-08-09,532.99,501.91,0.0044,7765.48,6.19,0.00,1.00,0.00,0.00,7765.48
2024-08-12,533.27,502.46,0.0005,7769.56,6.13,0.00,1.00,0.00,0.00,7769.56
2024-08-13,542.04,503.08,0.0164,7897.33,7.74,0.00,1.00,0.00,0.00,7897.33
2024-08-14,543.75,503.74,0.0032,7922.25,7.94,0.00,1.00,0.00,0.00,7922.25
2024-08-15,553.07,504.45,0.0171,8058.04,9.64,0.00,1.00,0.00,0.00,8058.04
2024-08-16,554.31,505.14,0.0022,8076.11,9.73,0.00,1.00,0.00,0.00,8076.11
2024-08-19,559.61,505.85,0.0096,8153.32,10.63,0.00,1.00,0.00,0.00,8153.32
2024-08-20,558.70,506.53,-0.0016,8140.07,10.30,0.00,1.00,0.00,0.00,8140.07
2024-08-21,560.62,507.18,0.0034,8168.04,10.54,0.00,1.00,0.00,0.00,8168.04
2024-08-22,556.22,507.79,-0.0078,8103.93,9.54,0.00,1.00,0.00,0.00,8103.93
2024-08-23,562.13,508.42,0.0106,8190.04,10.56,0.00,1.00,0.00,0.00,8190.04
2024-08-26,560.79,509.04,-0.0024,8170.52,10.17,0.00,1.00,0.00,0.00,8170.52
2024-08-27,561.56,509.66,0.0014,8181.74,10.18,0.00,1.00,0.00,0.00,8181.74
2024-08-28,558.30,510.28,-0.0058,8134.24,9.41,0.00,1.00,0.00,0.00,8134.24
2024-08-29,558.35,510.87,0.0001,8134.97,9.29,0.00,1.00,0.00,0.00,8134.97
